Year,Date,Home/Away,Opponent,Result,Score,Location
1917,11/03/1917,vs,Syracuse,L,0-6,"Providence, R.I."
1917,11/10/1917,vs,Newport Naval Reserves,L,0-35,"Providence, R.I."
1917,11/14/1917,vs,Camp Devens,W,40-0,"Providence, R.I."
1917,11/17/1917,vs,Colby,W,19-7,"Providence, R.I."
1917,11/24/1917,vs,Dartmouth,W,13-0,"Boston, Mass. (Braves Field)"
1918,11/02/1918,vs,Camp Devens,L,7-20,"Providence, R.I."
1918,11/10/1918,at,Syracuse,L,0-53,"Syracuse, N.Y."
1918,11/16/1918,at,Camp Kilmer,L,7-23,"Philadelphia, Pa."
1918,11/23/1918,vs,Dartmouth,W,28-0,"Boston, Mass. (Braves Field)"
1918,11/28/1918,at,Harvard,W,6-3,"Boston, Mass."
1919,09/27/1919,vs,Rhode Island,W,27-0,"Providence, R.I."
1919,10/04/1919,vs,Bowdoin,W,7-0,"Providence, R.I."
1919,10/11/1919,at,Colgate,L,0-14,"Hamilton, N.Y."
1919,10/18/1919,at,Harvard,L,0-7,"Boston, Mass."
1919,10/25/1919,vs,Norwich,W,20-0,"Providence, R.I."
1919,11/01/1919,vs,Syracuse,L,0-13,"Providence, R.I."
1919,11/08/1919,at,Yale,L,0-14,"New Haven, Conn."
1919,11/15/1919,vs,Dartmouth,W,7-6,"Boston, Mass. (Braves Field)"
1919,11/22/1919,vs,New Hampshire,W,6-0,"Providence, R.I."
1919,11/27/1919,at,Columbia,T,7-7,"New York, N.Y."
1920,09/25/1920,vs,Rhode Island State,W,25-0,"Providence, R.I."
1920,10/02/1920,vs,Amherst,W,13-0,"Providence, R.I."
1920,10/09/1920,vs,Maine,W,32-7,"Providence, R.I."
1920,10/16/1920,vs,Colgate,W,14-0,"Providence, R.I."
1920,10/23/1920,vs,Springfield,W,14-0,"Providence, R.I."
1920,10/30/1920,vs,Vermont,W,35-0,"Providence, R.I."
1920,11/06/1920,at,Yale,L,10-14,"New Haven, Conn."
1920,11/13/1920,at,Harvard,L,0-27,"Boston, Mass."
1920,11/20/1920,vs,Dartmouth,L,6-14,"Boston, Mass. (Braves Field)"
1921,09/24/1921,vs,Rhode Island State,W,6-0,"Providence, R.I."
1921,10/01/1921,vs,Colby,W,12-7,"Providence, R.I."
1921,10/08/1921,vs,NYU,W,13-0,"Providence, R.I."
1921,10/15/1921,at,Syracuse,L,0-28,"Syracuse, N.Y."
1921,10/22/1921,vs,Springfield,T,0-0,"Providence, R.I."
1921,10/29/1921,at,Yale,L,7-45,"New Haven, Conn."
1921,11/05/1921,vs,St. Bonaventure,W,55-0,"Providence, R.I."
1921,11/12/1921,at,Harvard,L,7-9,"Boston, Mass."
1921,11/19/1921,vs,Colgate,W,14-0,"Providence, R.I."
1922,09/30/1922,vs,Rhode Island State,W,27-0,"Providence, R.I."
1922,10/07/1922,vs,Colby,W,13-0,"Providence, R.I."
1922,10/14/1922,vs,Syracuse,T,0-0,"Providence, R.I."
