Genre,Decade,Popularity,Location,Band,Year,Artist
Jazz & R&B,10s,0,US,FALSE,2015,Kelela
Rap & Reggae/Ska,10s,50+,US,FALSE,2015,Pusha T
Rap & Reggae/Ska,10s,50+,NY,TRUE,2015,Waka Flocka Flame
Alternative & Folk,10s,0,NY,FALSE,2015,Yeasayer
Rap & Reggae/Ska,10s,200+,US,FALSE,2016,Fetty Wap
Alternative & Folk,10s,0,Canada,FALSE,2016,Mac DeMarco
Alternative & Folk,10s,0+,US,FALSE,2016,Modest Mouse
Jazz & R&B,10s,0+,US,FALSE,2016,Thundercat
Jazz & R&B,10s,50+,US,FALSE,2016,Tinashe
Rap & Reggae/Ska,10s,0,US,FALSE,2016,Tink
Electronic,10s,0+,Other,FALSE,2017,AlunaGeorge
Alternative & Folk,10s,0,US,FALSE,2017,Cherry Glazerr
Pop,10s,0,US,FALSE,2017,Empress Of
Jazz & R&B,10s,50+,US,FALSE,2017,Erykah Badu
Rap & Reggae/Ska,10s,0,NY,FALSE,2017,Princess Nokia
Rap & Reggae/Ska,10s,200+,US,FALSE,2017,Young Thug
Jazz & R&B,10s,50+,US,FALSE,2018,Anderson .Paak
Rap & Reggae/Ska,10s,0+,Other,FALSE,2018,DRAM
Jazz & R&B,10s,0,US,TRUE,2018,Free Nationals
Jazz & R&B,10s,0,Other,FALSE,2018,NAO
Rap & Reggae/Ska,10s,0,US,FALSE,2018,Rico Nasty
Pop,10s,0,Other,FALSE,2018,Rina Sawayama
Rap & Reggae/Ska,10s,0+,US,FALSE,2019,Aminé
Jazz & R&B,10s,50+,Canada,FALSE,2019,Daniel Caesar
Rap & Reggae/Ska,10s,0+,US,FALSE,2019,Kamaiyah
Rap & Reggae/Ska,10s,0,US,FALSE,2019,Kari Faux
Alternative & Folk,10s,50+,Other,FALSE,2019,Mitski
Electronic,10s,0,NY,FALSE,2019,Yaeji
Electronic,20s,0+,Canada,FALSE,2021,KAYTRANADA
Alternative & Folk,20s,200+,US,FALSE,2021,Phoebe Bridgers
